Филиал;Артикул;Затраты;Выручка;;;;Цель: сводная таблица вычисляемое поле
Филиал 1;1001;136;167;;;;
Филиал 1;1002;188;221;;Задание ;;
Филиал 1;1003;116;145;;;надо посчитать рентабельность которого нет;
Филиал 1;1004;186;222;;Создаем сводную таблицу;;
Филиал 1;1005;131;163;;1;создаем сводную таблицу;
Филиал 1;1006;117;144;;2;Значения = затраты, выручка;
Филиал 1;1007;164;197;;3;Строки = Филиал;
Филиал 2;1001;139;198;;новое поле;;
Филиал 2;1002;187;262;;1;Анализ сводной таблицы-Поле,элементы,наборы;
Филиал 2;1003;124;174;;2;Вычисляемое поле;
Филиал 2;1004;182;253;;3;;Имя= рентабельность
Филиал 2;1005;136;188;;;;Формула= (выручка- затраты)/выручка
Филиал 2;1006;121;170;;;;добавлятьполе из нижнего окна
Филиал 2;1007;163;226;;4;Добавить-ОК;
Филиал 2;1008;124;172;;5;пр. кн по новому столбцу;
Филиал 2;1009;180;251;;6;числовой формат-%;
Филиал 3;1001;140;189;;;;
Филиал 3;1002;184;244;;;;
Филиал 3;1003;125;168;;;;
Филиал 3;1004;181;235;;Отмена подгона ширины столбца;;
Филиал 3;1005;132;174;;1; выбрать любую ячеку св.таб ;
Филиал 3;1006;117;158;;2;анализ  свод.таб-параметры;
Филиал 3;1007;164;218;;3;снимаем галку автом. изменять подгонку столбцов;
Филиал 3;1008;129;174;;;;
;;;;;;;
;;;;; включить возможность делать подсчеты с формулами для свод.таб;;
;;;;;если попытаемся создать формулу из свод.табл то получим вместо  стандартных C3;;
;;;;;"""=ПОЛУЧИТЬ.ДАННЫЕ.СВОДНОЙ.ТАБЛИЦЫ(""Сумма по полю Затраты"";$K$6;""Филиал"";""Филиал 1"")";;
;;;;;надо отключить  GETPivotData;;
;;;;;1;выделить ячейку свод.таб;
;;;;;2;Анализ сводной таблицы-параметры;
;;;;;3;Снять галку с GETPivotData;
