OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount
1,2023-01-10,1,101,2,0.05
2,2023-01-12,2,202,1,0.00
3,2023-01-15,3,102,3,0.00
4,2023-01-18,1,301,1,0.10
5,2023-01-20,4,203,2,0.00
6,2023-01-22,5,103,1,0.00
7,2023-01-25,6,401,1,0.00
8,2023-01-27,7,201,3,0.05
9,2023-01-30,8,104,1,0.00
10,2023-02-02,9,302,1,0.10
11,2023-02-05,10,204,2,0.00
12,2023-02-07,1,105,1,0.00
13,2023-02-10,2,402,1,0.00
14,2023-02-12,3,205,2,0.05
15,2023-02-15,4,106,1,0.00
16,2023-02-17,5,303,2,0.00
17,2023-02-20,6,206,1,0.10
18,2023-02-22,7,107,1,0.00
19,2023-02-25,8,403,1,0.00
20,2023-02-27,9,207,2,0.05
21,2023-03-02,10,108,1,0.00
22,2023-03-04,1,304,1,0.10
23,2023-03-07,2,208,1,0.00
24,2023-03-09,3,109,2,0.00
25,2023-03-12,4,404,1,0.05
26,2023-03-14,5,209,1,0.00
27,2023-03-17,6,110,2,0.00
28,2023-03-19,7,305,1,0.00
29,2023-03-22,8,210,1,0.10
30,2023-03-24,9,111,3,0.00
31,2023-03-27,10,405,1,0.00
32,2023-03-29,1,211,2,0.05
33,2023-04-01,2,112,1,0.00
34,2023-04-03,3,306,1,0.00
35,2023-04-06,4,212,2,0.10
36,2023-04-08,5,113,1,0.00
37,2023-04-11,6,406,1,0.00
38,2023-04-13,7,213,2,0.05
39,2023-04-16,8,114,1,0.00
40,2023-04-18,9,307,1,0.00
41,2023-04-21,10,214,2,0.10
42,2023-04-23,1,115,1,0.00
43,2023-04-26,2,407,1,0.00
44,2023-04-28,3,215,2,0.05
45,2023-05-01,4,116,1,0.00
46,2023-05-03,5,308,1,0.00
47,2023-05-06,6,216,2,0.00
48,2023-05-08,7,117,1,0.10
49,2023-05-11,8,408,1,0.00
50,2023-05-13,9,217,2,0.00
51,2023-05-16,10,118,1,0.05
52,2023-05-18,1,309,1,0.00
53,2023-05-21,2,218,1,0.00
54,2023-05-23,3,119,2,0.10
55,2023-05-26,4,409,1,0.00
56,2023-05-28,5,219,2,0.00
57,2023-05-31,6,120,1,0.00
58,2023-06-02,7,310,1,0.05
59,2023-06-05,8,220,2,0.00
60,2023-06-07,9,101,1,0.10
61,2023-06-10,10,410,1,0.00
62,2023-06-12,1,202,2,0.00
63,2023-06-15,2,102,3,0.05
64,2023-06-17,3,301,1,0.00
65,2023-06-20,4,203,2,0.10
66,2023-06-22,5,103,1,0.00
67,2023-06-25,6,401,1,0.00
68,2023-06-27,7,201,3,0.05
69,2023-06-30,8,104,1,0.00
70,2023-07-02,9,302,1,0.10
71,2023-07-05,10,204,2,0.00
72,2023-07-07,1,105,1,0.00
73,2023-07-10,2,402,1,0.00
74,2023-07-12,3,205,2,0.05
75,2023-07-15,4,106,1,0.00
76,2023-07-17,5,303,2,0.00
77,2023-07-20,6,206,1,0.10
78,2023-07-22,7,107,1,0.00
79,2023-07-25,8,403,1,0.00
80,2023-07-27,9,207,2,0.05
81,2023-07-30,10,108,1,0.00
82,2023-08-01,1,304,1,0.10
83,2023-08-04,2,208,1,0.00
84,2023-08-06,3,109,2,0.00
85,2023-08-09,4,404,1,0.05
86,2023-08-11,5,209,1,0.00
87,2023-08-14,6,110,2,0.00
88,2023-08-16,7,305,1,0.00
89,2023-08-19,8,210,1,0.10
90,2023-08-21,9,111,3,0.00
91,2023-08-24,10,405,1,0.00
92,2023-08-26,1,211,2,0.05
93,2023-08-29,2,112,1,0.00
94,2023-08-31,3,306,1,0.00
95,2023-09-03,4,212,2,0.10
96,2023-09-05,5,113,1,0.00
97,2023-09-08,6,406,1,0.00
98,2023-09-10,7,213,2,0.05
99,2023-09-13,8,114,1,0.00
100,2023-09-15,9,307,1,0.00
